year_film,year_ceremony,ceremony,category,name,film,winner,imdb_rating,box_office
2005,2006,78,ACTOR IN A LEADING ROLE,David Strathairn,"Good Night, and Good Luck.",False,7.4,"$31,558,003"
2005,2006,78,ACTRESS IN A LEADING ROLE,Judi Dench,Mrs. Henderson Presents,False,7.0,"$11,036,366"
2005,2006,78,ACTRESS IN A LEADING ROLE,Felicity Huffman,Transamerica,False,7.3,"$9,015,303"
2005,2006,78,ACTRESS IN A LEADING ROLE,Keira Knightley,Pride & Prejudice,False,7.8,"$1,446,634"
2005,2006,78,ACTRESS IN A LEADING ROLE,Charlize Theron,North Country,False,7.3,"$18,337,722"
2005,2006,78,ACTRESS IN A LEADING ROLE,Reese Witherspoon,Walk the Line,True,,
2005,2006,78,BEST PICTURE,"Diana Ossana and James Schamus, Producers",Brokeback Mountain,False,,
2005,2006,78,BEST PICTURE,"Caroline Baron, William Vince and Michael Ohoven, Producers",Capote,False,,
2005,2006,78,BEST PICTURE,"Paul Haggis and Cathy Schulman, Producers",Crash,True,7.7,"$54,580,300"
2005,2006,78,BEST PICTURE,"Grant Heslov, Producer","Good Night, and Good Luck.",False,,
2005,2006,78,BEST PICTURE,"Kathleen Kennedy, Steven Spielberg and Barry Mendel, Producers",Munich,False,7.5,"$47,403,685"
2006,2007,79,ACTOR IN A LEADING ROLE,Leonardo DiCaprio,Blood Diamond,False,8.0,"$57,377,916"
2006,2007,79,ACTOR IN A LEADING ROLE,Ryan Gosling,Half Nelson,False,7.1,"$2,697,938"
2006,2007,79,ACTOR IN A LEADING ROLE,Peter O'Toole,Venus,False,5.5,"$3,347,411"
2006,2007,79,ACTOR IN A LEADING ROLE,Will Smith,The Pursuit of Happyness,False,8.0,"$163,566,459"
2006,2007,79,ACTOR IN A LEADING ROLE,Forest Whitaker,The Last King of Scotland,True,7.6,"$17,606,684"
2006,2007,79,ACTRESS IN A LEADING ROLE,Penélope Cruz,Volver,False,7.6,"$12,899,867"
2006,2007,79,ACTRESS IN A LEADING ROLE,Judi Dench,Notes on a Scandal,False,7.4,"$17,510,118"
2006,2007,79,ACTRESS IN A LEADING ROLE,Helen Mirren,The Queen,True,7.1,"$56,441,711"
2006,2007,79,ACTRESS IN A LEADING ROLE,Meryl Streep,The Devil Wears Prada,False,6.9,"$124,740,460"
2006,2007,79,ACTRESS IN A LEADING ROLE,Kate Winslet,Little Children,False,7.5,"$5,463,019"
2006,2007,79,BEST PICTURE,"Alejandro González Iñárritu, Jon Kilik and Steve Golin, Producers",Babel,False,7.5,"$34,302,837"
2006,2007,79,BEST PICTURE,"Graham King, Producer",The Departed,True,8.5,"$132,399,394"
2006,2007,79,BEST PICTURE,"Clint Eastwood, Steven Spielberg and Robert Lorenz, Producers",Letters from Iwo Jima,False,7.8,"$13,756,082"
2006,2007,79,BEST PICTURE,"David T. Friendly, Peter Saraf and Marc Turtletaub, Producers",Little Miss Sunshine,False,7.8,"$59,891,098"
2006,2007,79,BEST PICTURE,"Andy Harries, Christine Langan and Tracey Seaward, Producers",The Queen,False,,
2007,2008,80,ACTOR IN A LEADING ROLE,George Clooney,Michael Clayton,False,7.2,"$49,033,882"
2007,2008,80,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,There Will Be Blood,True,8.2,"$40,222,514"
2007,2008,80,ACTOR IN A LEADING ROLE,Johnny Depp,Sweeney Todd The Demon Barber of Fleet Street,False,7.3,"$52,898,073"
2007,2008,80,ACTOR IN A LEADING ROLE,Tommy Lee Jones,In the Valley of Elah,False,7.2,"$6,777,741"
2007,2008,80,ACTOR IN A LEADING ROLE,Viggo Mortensen,Eastern Promises,False,7.6,"$17,266,000"
2007,2008,80,ACTRESS IN A LEADING ROLE,Cate Blanchett,Elizabeth: The Golden Age,False,6.8,"$16,383,509"
2007,2008,80,ACTRESS IN A LEADING ROLE,Julie Christie,Away from Her,False,7.5,"$4,571,521"
2007,2008,80,ACTRESS IN A LEADING ROLE,Marion Cotillard,La Vie en Rose,True,7.8,"$10,301,706"
2007,2008,80,ACTRESS IN A LEADING ROLE,Laura Linney,The Savages,False,7.1,"$6,623,082"
2007,2008,80,ACTRESS IN A LEADING ROLE,Ellen Page,Juno,False,7.4,"$143,495,265"
2007,2008,80,BEST PICTURE,"Tim Bevan, Eric Fellner and Paul Webster, Producers",Atonement,False,7.8,"$50,927,067"
2007,2008,80,BEST PICTURE,"Lianne Halfon, Mason Novick and Russell Smith, Producers",Juno,False,,
2007,2008,80,BEST PICTURE,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers",Michael Clayton,False,,
2007,2008,80,BEST PICTURE,"Scott Rudin, Ethan Coen and Joel Coen, Producers",No Country for Old Men,True,8.2,"$74,283,625"
2007,2008,80,BEST PICTURE,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers",There Will Be Blood,False,,
2008,2009,81,ACTOR IN A LEADING ROLE,Richard Jenkins,The Visitor,False,4.2,"$9,427,089"
2008,2009,81,ACTOR IN A LEADING ROLE,Frank Langella,Frost/Nixon,False,7.6,"$18,622,031"
2008,2009,81,ACTOR IN A LEADING ROLE,Sean Penn,Milk,True,7.5,"$31,841,299"
